
    36 atoms
    54 bonds
    1 atom types
    1 bond types

    -1.210260 38.789740 xlo xhi
    -14.331330 25.668670 ylo yhi
    -26.404808 13.595192 zlo zhi

    Atoms 

    1 1 20.962746 5.867768 -5.012342 1 
2 1 21.054371 6.093990 -7.738571 1 
3 1 20.986622 4.753803 -7.171252 1 
4 1 20.908852 4.730746 -5.850787 1 
5 1 20.135826 5.665758 -3.831303 1 
6 1 19.363285 6.815724 -3.711760 1 
7 1 17.953989 6.642738 -3.780715 1 
8 1 19.538536 4.405899 -3.982846 1 
9 1 18.243540 4.296054 -4.030156 1 
10 1 17.397631 5.403747 -3.873178 1 
11 1 19.118719 3.360541 -7.335888 1 
12 1 19.141165 3.187057 -5.907679 1 
13 1 20.139431 3.737289 -5.175429 1 
14 1 20.193417 4.047996 -7.977106 1 
15 1 16.670017 6.611082 -5.657563 1 
16 1 17.448318 7.451352 -4.902161 1 
17 1 16.525108 6.686186 -7.018552 1 
18 1 16.556166 5.333607 -5.088954 1 
19 1 18.570551 8.059149 -5.501948 1 
20 1 19.734076 7.669209 -4.809600 1 
21 1 18.459454 8.150283 -6.836310 1 
22 1 17.376451 7.616968 -7.667890 1 
23 1 19.667793 7.847863 -7.536482 1 
24 1 20.719934 7.179040 -6.949143 1 
25 1 20.684824 7.121580 -5.588140 1 
26 1 17.939594 6.992205 -8.788607 1 
27 1 19.348585 7.144655 -8.812603 1 
28 1 20.218479 6.104666 -8.921249 1 
29 1 17.337620 5.705721 -8.936123 1 
30 1 16.858360 4.166998 -5.850525 1 
31 1 16.855160 4.211989 -7.268730 1 
32 1 16.539305 5.523779 -7.794409 1 
33 1 17.899340 3.522500 -5.282683 1 
34 1 17.932919 3.663939 -7.965024 1 
35 1 18.263952 4.698364 -9.040100 1 
36 1 19.691166 4.804087 -9.097856 1 

 Bonds 

    1 1 1 4
2 1 1 5
3 1 1 25
4 1 2 3
5 1 2 28
6 1 2 24
7 1 3 4
8 1 3 14
9 1 4 13
10 1 5 6
11 1 5 8
12 1 6 7
13 1 6 20
14 1 7 10
15 1 7 16
16 1 8 9
17 1 8 13
18 1 9 10
19 1 9 33
20 1 10 18
21 1 11 14
22 1 11 12
23 1 11 34
24 1 12 13
25 1 12 33
26 1 14 36
27 1 15 17
28 1 15 16
29 1 15 18
30 1 16 19
31 1 17 22
32 1 17 32
33 1 18 30
34 1 19 21
35 1 19 20
36 1 20 25
37 1 21 22
38 1 21 23
39 1 22 26
40 1 23 24
41 1 23 27
42 1 24 25
43 1 26 29
44 1 26 27
45 1 27 28
46 1 28 36
47 1 29 32
48 1 29 35
49 1 30 31
50 1 30 33
51 1 31 32
52 1 31 34
53 1 34 35
54 1 35 36
